// mode = 2 (709L)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
c86496 ff0080 966497 8d3abc 4f96 aa8d
c86496 0080ff 966497 b46115 6396 56b4
c86496 80ff00 966497 37e3ad a496 a237
101010 000000 1d7f80 108080 801d 8010
101010 ffffff 1d7f80 eb7f80 7f1d 80eb
101010 ff0000 1d7f80 3e66ef 731d b83e
101010 0000ff 1d7f80 ac291a 541d 4dac
101010 00ff00 1d7f80 1fef75 b71d 7b1f
101010 808080 1d7f80 7d7f80 7f1d 807d
101010 c86496 1d7f80 966497 721d 8c96
101010 101010 1d7f80 1d7f80 7f1d 801d
101010 ebebeb 1d7f80 d97f80 7f1d 80d9
101010 ff0080 1d7f80 8d3abc 5d1d 9e8d
101010 0080ff 1d7f80 b46115 701d 4bb4
101010 80ff00 1d7f80 37e3ad b11d 9737
ebebeb 000000 d97f80 108080 80d9 8010
ebebeb ffffff d97f80 eb7f80 7fd9 80eb
ebebeb ff0000 d97f80 3e66ef 73d9 b83e
ebebeb 0000ff d97f80 ac291a 54d9 4dac
ebebeb 00ff00 d97f80 1fef75 b7d9 7b1f
ebebeb 808080 d97f80 7d7f80 7fd9 807d
ebebeb c86496 d97f80 966497 72d9 8c96
ebebeb 101010 d97f80 1d7f80 7fd9 801d
ebebeb ebebeb d97f80 d97f80 7fd9 80d9
ebebeb ff0080 d97f80 8d3abc 5dd9 9e8d
ebebeb 0080ff d97f80 b46115 70d9 4bb4
ebebeb 80ff00 d97f80 37e3ad b1d9 9737
ff0080 000000 8d3abc 108080 5d8d 9e10
ff0080 ffffff 8d3abc eb7f80 5d8d 9eeb
ff0080 ff0000 8d3abc 3e66ef 508d d63e
ff0080 0000ff 8d3abc ac291a 328d 6bac
ff0080 00ff00 8d3abc 1fef75 958d 991f
ff0080 808080 8d3abc 7d7f80 5d8d 9e7d
ff0080 c86496 8d3abc 966497 4f8d aa96
ff0080 101010 8d3abc 1d7f80 5d8d 9e1d
ff0080 ebebeb 8d3abc d97f80 5d8d 9ed9
ff0080 ff0080 8d3abc 8d3abc 3a8d bc8d
ff0080 0080ff 8d3abc b46115 4e8d 69b4
ff0080 80ff00 8d3abc 37e3ad 8f8d b537
0080ff 000000 b46115 108080 71b4 4b10
0080ff ffffff b46115 eb7f80 70b4 4beb
0080ff ff0000 b46115 3e66ef 64b4 823e
0080ff 0000ff b46115 ac291a 45b4 18ac
0080ff 00ff00 b46115 1fef75 a8b4 451f
0080ff 808080 b46115 7d7f80 70b4 4b7d
0080ff c86496 b46115 966497 63b4 5696
0080ff 101010 b46115 1d7f80 70b4 4b1d
0080ff ebebeb b46115 d97f80 70b4 4bd9
0080ff ff0080 b46115 8d3abc 4eb4 698d
0080ff 0080ff b46115 b46115 61b4 15b4
0080ff 80ff00 b46115 37e3ad a2b4 6137
80ff00 000000 37e3ad 108080 b237 9710
80ff00 ffffff 37e3ad eb7f80 b137 97eb
80ff00 ff0000 37e3ad 3e66ef a537 ce3e
80ff00 0000ff 37e3ad ac291a 8637 64ac
80ff00 00ff00 37e3ad 1fef75 e937 911f
80ff00 808080 37e3ad 7d7f80 b137 977d
80ff00 c86496 37e3ad 966497 a437 a296
80ff00 101010 37e3ad 1d7f80 b137 971d
80ff00 ebebeb 37e3ad d97f80 b137 97d9
80ff00 ff0080 37e3ad 8d3abc 8f37 b58d
80ff00 0080ff 37e3ad b46115 a237 61b4
80ff00 80ff00 37e3ad 37e3ad e337 ad37
583e08 db9861 288fa0 7d8bb3 8d28 aa7d
f0d9d0 a8d852 c9808d 6eb2a0 99c9 976e
de329c b1af3a 9b4aa1 5ea7af 799b a85e
4edb7f 236644 79ad66 469270 a079 6b46
c0dff4 5f945b d67b6a 62987f 8ad6 7562
0f8423 7466cd 30ac73 a95b5d 8430 68a9
35ac8e 022216 7b9657 1f8776 8f7b 671f
36aa7a 6b4334 6f9b60 478097 8e6f 7c47
a7863d 3a6a87 5c95ab 747a5f 885c 8574
34ecc9 07e0a5 a39e3d 84a938 a4a3 3b84
c69cec 52a488 ce6072 7c9167 79ce 6d7c
f238f5 16db62 d62d86 5dbc59 75d6 705d
d83ceb aa1b7f cb347e 7e4f96 42cb 8a7e
4455d3 d57f13 a35646 4a9bd0 79a3 8b4a
c0e9c3 92117a b9907d 764f8e 70b9 8676
3a247b b5cb7d 686066 8a9c95 7e68 7e8a
4ec2c0 f16938 a08c4d 6482cf 87a0 8e64
b40fd6 dc74a9 b52b79 a76398 47b5 89a7
14a020 7d7722 31b975 439ca4 ab31 8d43
37bfc9 b55256 a18a40 6b74a9 7fa1 756b
f272ac 07c934 ac5fa1 3dc566 92ac 843d
432e11 4e9bc5 298794 a0794d 8029 71a0
04df23 d6e43a 34d56a 68babd c834 9468
a33aa2 16ae5b 945284 56ab5e 7f94 7156
cf4b59 52e634 716db4 4dcb86 9c71 9d4d
9e7cea d1739b c45763 9c6899 60c4 7e9c
af543f 3a287f 5b7db0 6b6065 6f5b 8b6b
9d34f4 2e36ac c53461 85584d 46c5 5785
6d4401 cac5e0 2892ac ca7677 8428 92ca
4ff0a1 404220 90aa58 338b8c 9b90 7233
f3f919 a4d522 5bccd6 50c1b1 c75b c450
ab674c 6a457c 6482a8 73697a 7664 9173
af807c 66995e 847c96 659881 8a84 8c65
64c457 68d9f0 63ae81 c38345 9963 63c3
63ae4f 669242 5da784 549f8c a35d 8854
7f9c79 03c616 7b8e81 2acf70 af7b 792a
142a41 7c7703 3e7a6d 2fa6b0 903e 8f2f
ce2a0b 4d0718 3f79d4 2d7397 763f b62d
637fce 2acb95 a86754 7fa24e 85a8 517f
f6c801 f32396 4abee3 9a43ad 814a c89a
1a7999 b67a57 7a7e49 6e85a8 827a 796e
982548 1f1d26 5a68a4 2e7c7d 725a 912e
cec25c ba1248 7aa1ad 5f5cb4 7f7a b15f
3191b3 786878 8f7e48 767880 7b8f 6476
66790d cfed51 32a6a2 76b7b1 af32 aa76
7b6745 52d66d 578996 6fb06f 9d57 836f
e62097 4501ca 9843a7 98344d 3c98 7a98
630648 7d7cd0 4e608e ae635e 624e 76ae
8ff475 21ad63 81b586 5da760 ae81 735d
2d71e2 17fb5e aa6035 5dcc5a 96aa 485d
2e62f9 a7972d b7512c 53a2b1 7ab7 6f53
31b97e e51943 71a15b 645dc8 7f71 9264
526b96 6b84aa 817363 947565 7481 6494
3e0447 f530f3 47637e d52988 4647 83d5
820697 aa4286 84427c 855e92 5084 8785
5961fb 4d085a c04c3f 555d7d 55c0 5e55
b4cb02 4aee23 3ec6c6 41d588 ce3e a741
c485a1 e35579 9e7090 8965af 6b9e a089
4ed384 46564d 7ca865 51847c 967c 7151
29b79c 356c8b 82974c 757a5b 8982 5475
a8aef3 eb6522 ce6961 5689d5 79ce 9b56
4fdfd9 b27872 b19043 7e7c9b 86b1 6f7e
486486 8c77c1 757766 a7646b 6e75 69a7
4f2b98 e1fb2a 7e5764 62c9c7 907e 9662
