// mode = 0 (601L)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
ab674c 6a457c 6c7da7 706a7c 746c 9270
af807c 66995e 887a96 68987f 8988 8b68
64c457 68d9f0 68ad7d b88a45 9c68 61b8
63ae4f 669242 62a682 599d8a a262 8659
7f9c79 03c616 7c8e80 2fd06b af7c 762f
142a41 7c7703 3a7c6d 3da1ac 8f3a 8d3d
ce2a0b 4d0718 4e70d3 307098 704e b630
637fce 2acb95 9d6d56 79a74d 8a9d 5279
f6c801 f32396 63b3dd 9d3fb0 7963 c79d
1a7999 b67a57 6f844a 7681a7 836f 7976
982548 1f1d26 5e64a5 2d7d7d 715e 912d
cec25c ba1248 869baa 6557b5 7986 b065
3191b3 786878 858449 757881 7e85 6575
66790d cfed51 3ca29f 85b1ac aa3c a685
7b6745 52d66d 5c8695 70b26c 9c5c 8170
e62097 4501ca 9a40ab 873b53 3e9a 7f87
630648 7d7cd0 4e5f90 a56761 634e 79a5
8ff475 21ad63 87b382 5baa5d af87 705b
2d71e2 17fb5e 986938 5dcf55 9c98 475d
2e62f9 a7972d a25b31 609cae 7ca2 7060
31b97e e51943 6ea55a 6f55ca 7d6e 926f
526b96 6b84aa 7b7765 8e7867 787b 668e
3e0447 f530f3 446380 ce2a8e 4744 87ce
820697 aa4286 7e4381 855c94 507e 8b85
5961fb 4d085a ae5443 515d80 59ae 6251
b4cb02 4aee23 53bdbf 4bd382 c853 a14b
c485a1 e35579 a06e91 8f60b1 67a0 a18f
4ed384 46564d 7baa62 51847c 977b 6f51
29b79c 356c8b 7b9c4b 6e7f5c 8e7b 546e
a8aef3 eb6522 c66c63 677fd3 76c6 9b67
4fdfd9 b27872 a79742 82799b 88a7 6f82
486486 8c77c1 6f7a67 a0676d 716f 6aa0
4f2b98 e1fb2a 755a67 77c0c1 8d75 9477
