// mode = 1 (601F)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
0000ff 0000ff 952b15 952b15 2b95 1595
0000ff 00ff00 952b15 1dff6b 9595 401d
0000ff 808080 952b15 808080 5695 4b80
0000ff c86496 952b15 9f5e9d 4595 599f
0000ff 101010 952b15 108080 5695 4b10
0000ff ebebeb 952b15 eb8080 5695 4beb
0000ff ff0080 952b15 972ac9 2b95 6f97
0000ff 0080ff 952b15 a46b0a 4b95 10a4
0000ff 80ff00 952b15 43e9ab 8a95 6043
00ff00 000000 1dff6b 008080 c01d 7600
00ff00 ffffff 1dff6b ff8080 c01d 76ff
00ff00 ff0000 1dff6b 4c54ff aa1d b54c
00ff00 0000ff 1dff6b 952b15 951d 4095
00ff00 00ff00 1dff6b 1dff6b ff1d 6b1d
00ff00 808080 1dff6b 808080 c01d 7680
00ff00 c86496 1dff6b 9f5e9d af1d 849f
00ff00 101010 1dff6b 108080 c01d 7610
00ff00 ebebeb 1dff6b eb8080 c01d 76eb
00ff00 ff0080 1dff6b 972ac9 951d 9a97
00ff00 0080ff 1dff6b a46b0a b51d 3ba4
00ff00 80ff00 1dff6b 43e9ab f41d 8b43
808080 000000 808080 008080 8080 8000
808080 ffffff 808080 ff8080 8080 80ff
808080 ff0000 808080 4c54ff 6a80 c04c
808080 0000ff 808080 952b15 5680 4b95
808080 00ff00 808080 1dff6b c080 761d
808080 808080 808080 808080 8080 8080
808080 c86496 808080 9f5e9d 6f80 8f9f
808080 101010 808080 108080 8080 8010
808080 ebebeb 808080 eb8080 8080 80eb
808080 ff0080 808080 972ac9 5580 a597
808080 0080ff 808080 a46b0a 7680 45a4
808080 80ff00 808080 43e9ab b580 9643
c86496 000000 9f5e9d 008080 6f9f 8f00
c86496 ffffff 9f5e9d ff8080 6f9f 8fff
c86496 ff0000 9f5e9d 4c54ff 599f ce4c
c86496 0000ff 9f5e9d 952b15 459f 5995
c86496 00ff00 9f5e9d 1dff6b af9f 841d
c86496 808080 9f5e9d 808080 6f9f 8f80
c86496 c86496 9f5e9d 9f5e9d 5e9f 9d9f
c86496 101010 9f5e9d 108080 6f9f 8f10
c86496 ebebeb 9f5e9d eb8080 6f9f 8feb
c86496 ff0080 9f5e9d 972ac9 449f b397
c86496 0080ff 9f5e9d a46b0a 659f 54a4
c86496 80ff00 9f5e9d 43e9ab a49f a443
101010 000000 108080 008080 8010 8000
101010 ffffff 108080 ff8080 8010 80ff
101010 ff0000 108080 4c54ff 6a10 c04c
101010 0000ff 108080 952b15 5610 4b95
101010 00ff00 108080 1dff6b c010 761d
101010 808080 108080 808080 8010 8080
101010 c86496 108080 9f5e9d 6f10 8f9f
101010 101010 108080 108080 8010 8010
101010 ebebeb 108080 eb8080 8010 80eb
101010 ff0080 108080 972ac9 5510 a597
101010 0080ff 108080 a46b0a 7610 45a4
101010 80ff00 108080 43e9ab b510 9643
ebebeb 000000 eb8080 008080 80eb 8000
ebebeb ffffff eb8080 ff8080 80eb 80ff
ebebeb ff0000 eb8080 4c54ff 6aeb c04c
ebebeb 0000ff eb8080 952b15 56eb 4b95
ebebeb 00ff00 eb8080 1dff6b c0eb 761d
ebebeb 808080 eb8080 808080 80eb 8080
ebebeb c86496 eb8080 9f5e9d 6feb 8f9f
ebebeb 101010 eb8080 108080 80eb 8010
ebebeb ebebeb eb8080 eb8080 80eb 80eb
ebebeb ff0080 eb8080 972ac9 55eb a597
ebebeb 0080ff eb8080 a46b0a 76eb 45a4
ebebeb 80ff00 eb8080 43e9ab b5eb 9643
ff0080 000000 972ac9 008080 5597 a500
ff0080 ffffff 972ac9 ff8080 5597 a5ff
ff0080 ff0000 972ac9 4c54ff 3f97 e44c
ff0080 0000ff 972ac9 952b15 2b97 6f95
ff0080 00ff00 972ac9 1dff6b 9597 9a1d
ff0080 808080 972ac9 808080 5597 a580
ff0080 c86496 972ac9 9f5e9d 4497 b39f
ff0080 101010 972ac9 108080 5597 a510
ff0080 ebebeb 972ac9 eb8080 5597 a5eb
ff0080 ff0080 972ac9 972ac9 2a97 c997
ff0080 0080ff 972ac9 a46b0a 4b97 6aa4
ff0080 80ff00 972ac9 43e9ab 8a97 ba43
0080ff 000000 a46b0a 008080 76a4 4500
0080ff ffffff a46b0a ff8080 76a4 45ff
0080ff ff0000 a46b0a 4c54ff 60a4 854c
0080ff 0000ff a46b0a 952b15 4ba4 1095
0080ff 00ff00 a46b0a 1dff6b b5a4 3b1d
0080ff 808080 a46b0a 808080 76a4 4580
0080ff c86496 a46b0a 9f5e9d 65a4 549f
0080ff 101010 a46b0a 108080 76a4 4510
0080ff ebebeb a46b0a eb8080 76a4 45eb
0080ff ff0080 a46b0a 972ac9 4ba4 6a97
0080ff 0080ff a46b0a a46b0a 6ba4 0aa4
0080ff 80ff00 a46b0a 43e9ab aaa4 5b43
80ff00 000000 43e9ab 008080 b543 9600
80ff00 ffffff 43e9ab ff8080 b543 96ff
80ff00 ff0000 43e9ab 4c54ff 9f43 d54c
80ff00 0000ff 43e9ab 952b15 8a43 6095
80ff00 00ff00 43e9ab 1dff6b f443 8b1d
80ff00 808080 43e9ab 808080 b543 9680
80ff00 c86496 43e9ab 9f5e9d a443 a49f
80ff00 101010 43e9ab 108080 b543 9610
80ff00 ebebeb 43e9ab eb8080 b543 96eb
80ff00 ff0080 43e9ab 972ac9 8a43 ba97
80ff00 0080ff 43e9ab a46b0a aa43 5ba4
80ff00 80ff00 43e9ab 43e9ab e943 ab43
583e08 db9861 268da3 8b86b8 8a26 ae8b
f0d9d0 a8d852 da7f8f 7ab4a0 9ada 987a
de329c b1af3a a33fa9 6aa6b2 73a3 ae6a
4edb7f 236644 7ab660 3e966c a67a 663e
c0dff4 5f945b e27e67 629b7d 8de2 7262
0f8423 7466cd 28b36e a65b5b 8728 65a6
35ac8e 022216 769e51 118975 9476 6311
36aa7a 6b4334 6ba35a 467e9a 916b 7a46
a7863d 3a6a87 6592af 6c7e5b 8865 856c
34ecc9 07e0a5 a0aa32 7cb82c b1a0 2f7c
c69cec 52a488 d75e73 7b9762 7bd7 6b7b
f238f5 16db62 de228d 59c950 76de 6f59
d83ceb aa1b7f d12b84 80469d 39d1 9180
4455d3 d57f13 995942 5995d8 7799 8d59
c0e9c3 92117a c6937b 754794 6dc6 8875
3a247b b5cb7d 5d5f66 969d95 7e5d 7e96
4ec2c0 f16938 9e9446 7479d8 879e 8f74
b40fd6 dc74a9 b5227f b25c9d 3fb5 8eb2
14a020 7d7722 2bc26f 469ba6 af2b 8b46
37bfc9 b55256 9c9337 716daf 809c 7371
f272ac 07c934 ba57a7 37d25d 95ba 8237
432e11 4e9bc5 238696 9c7f47 8323 6f9c
04df23 d6e43a 2fe361 7cbac0 cf2f 917c
a33aa2 16ae5b 964b88 4fb556 8096 6f4f
cf4b59 52e634 7a65bc 51d380 9c7a 9e51
9e7cea d1739b c65562 a6629e 5cc6 80a6
af543f 3a287f 6277b6 606064 6c62 8d60
9d34f4 2e36ac c42e64 785a4a 44c4 5778
6d4401 cac5e0 288fb0 d67677 8328 94d6
4ff0a1 404220 91b550 2d8b8d a091 6f2d
f3f919 a4d522 73cbda 5dc3b2 c773 c65d
ab674c 6a457c 6b7dad 70677b 726b 9470
af807c 66995e 8b7999 679c7f 8b8b 8c67
64c457 68d9f0 67b47d c48b3d a067 5dc4
63ae4f 669242 5fac82 55a18b a75f 8755
7f9c79 03c616 7e9080 24db68 b67e 7424
142a41 7c7703 307c6b 34a5b3 9130 8f34
ce2a0b 4d0718 486ede 256e9b 6e48 bd25
637fce 2acb95 a46a50 7bad46 8ca4 4b7b
f6c801 f32396 60baea a436b7 7860 d1a4
1a7999 b67a57 6f8543 7781ac 836f 7877
982548 1f1d26 5b60aa 227c7d 6e5b 9422
cec25c ba1248 899fb0 6351bd 7889 b763
3191b3 786878 888441 767881 7e88 6176
66790d cfed51 33a6a3 88b8b2 af33 ab88
7b6745 52d66d 598798 70b969 a059 8170
e62097 4501ca a137b1 8b314d 34a1 7f8b
630648 7d7cd0 485a92 ad645d 5f48 78ad
8ff475 21ad63 8bbb82 57b059 b68b 6e57
2d71e2 17fb5e 9e662e 5ada4f a09e 3f5a
2e62f9 a7972d ab5626 5da0b4 7bab 6d5d
31b97e e51943 6daa54 6e4fd4 7d6d 946e
526b96 6b84aa 7c7561 927763 767c 6292
3e0447 f530f3 3c6080 dd1e90 3f3c 88dd
820697 aa4286 803b81 895797 4980 8c89
5961fb 4d085a b94e3b 4c5980 54b9 5e4c
b4cb02 4aee23 4ec6c8 45de83 d24e a645
c485a1 e35579 a86c93 945cb7 64a8 a594
4ed384 46564d 7cb05e 4b857b 9b7c 6d4b
29b79c 356c8b 7ca044 6d7f57 907c 4e6d
a8aef3 eb6522 d46a60 657fdf 75d4 a065
4fdfd9 b27872 b09a3a 85789f 89b0 6d85
486486 8c77c1 6f7963 a8636b 6e6f 67a8
4f2b98 e1fb2a 755564 78c9ca 8f75 9778
