// mode = 3 (709F)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
00ff00 101010 12ff74 107f80 bf12 7a10
00ff00 ebebeb 12ff74 eb7f80 bf12 7aeb
00ff00 ff0080 12ff74 9131c5 9812 9d91
00ff00 0080ff 12ff74 bf5d06 ae12 3dbf
00ff00 80ff00 12ff74 2df0b4 f812 942d
808080 000000 807f80 008080 8080 8000
808080 ffffff 807f80 ff7f80 7f80 80ff
808080 ff0000 807f80 3662ff 7180 c036
808080 0000ff 807f80 b61d0c 4e80 46b6
808080 00ff00 807f80 12ff74 bf80 7a12
808080 808080 807f80 807f80 7f80 8080
808080 c86496 807f80 9d619b 7080 8e9d
808080 101010 807f80 107f80 7f80 8010
808080 ebebeb 807f80 eb7f80 7f80 80eb
808080 ff0080 807f80 9131c5 5880 a391
808080 0080ff 807f80 bf5d06 6e80 43bf
808080 80ff00 807f80 2df0b4 b880 9a2d
c86496 000000 9d619b 008080 719d 8e00
c86496 ffffff 9d619b ff7f80 709d 8eff
c86496 ff0000 9d619b 3662ff 629d cd36
c86496 0000ff 9d619b b61d0c 3f9d 54b6
c86496 00ff00 9d619b 12ff74 b09d 8812
c86496 808080 9d619b 807f80 709d 8e80
c86496 c86496 9d619b 9d619b 619d 9b9d
c86496 101010 9d619b 107f80 709d 8e10
c86496 ebebeb 9d619b eb7f80 709d 8eeb
c86496 ff0080 9d619b 9131c5 499d b091
c86496 0080ff 9d619b bf5d06 5f9d 51bf
c86496 80ff00 9d619b 2df0b4 a99d a82d
101010 000000 107f80 008080 8010 8000
101010 ffffff 107f80 ff7f80 7f10 80ff
101010 ff0000 107f80 3662ff 7110 c036
101010 0000ff 107f80 b61d0c 4e10 46b6
101010 00ff00 107f80 12ff74 bf10 7a12
101010 808080 107f80 807f80 7f10 8080
101010 c86496 107f80 9d619b 7010 8e9d
101010 101010 107f80 107f80 7f10 8010
101010 ebebeb 107f80 eb7f80 7f10 80eb
101010 ff0080 107f80 9131c5 5810 a391
101010 0080ff 107f80 bf5d06 6e10 43bf
101010 80ff00 107f80 2df0b4 b810 9a2d
ebebeb 000000 eb7f80 008080 80eb 8000
ebebeb ffffff eb7f80 ff7f80 7feb 80ff
ebebeb ff0000 eb7f80 3662ff 71eb c036
ebebeb 0000ff eb7f80 b61d0c 4eeb 46b6
ebebeb 00ff00 eb7f80 12ff74 bfeb 7a12
ebebeb 808080 eb7f80 807f80 7feb 8080
ebebeb c86496 eb7f80 9d619b 70eb 8e9d
ebebeb 101010 eb7f80 107f80 7feb 8010
ebebeb ebebeb eb7f80 eb7f80 7feb 80eb
ebebeb ff0080 eb7f80 9131c5 58eb a391
ebebeb 0080ff eb7f80 bf5d06 6eeb 43bf
ebebeb 80ff00 eb7f80 2df0b4 b8eb 9a2d
ff0080 000000 9131c5 008080 5991 a300
ff0080 ffffff 9131c5 ff7f80 5891 a3ff
ff0080 ff0000 9131c5 3662ff 4a91 e236
ff0080 0000ff 9131c5 b61d0c 2791 69b6
ff0080 00ff00 9131c5 12ff74 9891 9d12
ff0080 808080 9131c5 807f80 5891 a380
ff0080 c86496 9131c5 9d619b 4991 b09d
ff0080 101010 9131c5 107f80 5891 a310
ff0080 ebebeb 9131c5 eb7f80 5891 a3eb
ff0080 ff0080 9131c5 9131c5 3191 c591
ff0080 0080ff 9131c5 bf5d06 4791 66bf
ff0080 80ff00 9131c5 2df0b4 9191 bd2d
0080ff 000000 bf5d06 008080 6fbf 4300
0080ff ffffff bf5d06 ff7f80 6ebf 43ff
0080ff ff0000 bf5d06 3662ff 60bf 8336
0080ff 0000ff bf5d06 b61d0c 3dbf 09b6
0080ff 00ff00 bf5d06 12ff74 aebf 3d12
0080ff 808080 bf5d06 807f80 6ebf 4380
0080ff c86496 bf5d06 9d619b 5fbf 519d
0080ff 101010 bf5d06 107f80 6ebf 4310
0080ff ebebeb bf5d06 eb7f80 6ebf 43eb
0080ff ff0080 bf5d06 9131c5 47bf 6691
0080ff 0080ff bf5d06 bf5d06 5dbf 06bf
0080ff 80ff00 bf5d06 2df0b4 a7bf 5d2d
80ff00 000000 2df0b4 008080 b82d 9a00
80ff00 ffffff 2df0b4 ff7f80 b82d 9aff
80ff00 ff0000 2df0b4 3662ff a92d da36
80ff00 0000ff 2df0b4 b61d0c 872d 60b6
80ff00 00ff00 2df0b4 12ff74 f82d 9412
80ff00 808080 2df0b4 807f80 b82d 9a80
80ff00 c86496 2df0b4 9d619b a92d a89d
80ff00 101010 2df0b4 107f80 b82d 9a10
80ff00 ebebeb 2df0b4 eb7f80 b82d 9aeb
80ff00 ff0080 2df0b4 9131c5 912d bd91
80ff00 0080ff 2df0b4 bf5d06 a72d 5dbf
80ff00 80ff00 2df0b4 2df0b4 f02d b42d
583e08 db9861 1c91a5 7e8dba 8f1c b07e
f0d9d0 a8d852 d7808f 6db9a4 9dd7 9a6d
de329c b1af3a a243a5 5bacb6 78a2 ae5b
4edb7f 236644 7bb363 3f946d a47b 683f
c0dff4 5f945b e77b66 5f9c7f 8ce7 735f
0f8423 7466cd 25b271 b25658 8425 65b2
35ac8e 022216 7d9952 128875 917d 6412
36aa7a 6b4334 6f9f5b 40819a 906f 7b40
a7863d 3a6a87 5898b1 747a5a 8958 8674
34ecc9 07e0a5 aba233 87af2e a9ab 3187
c69cec 52a488 de5c70 7e9463 78de 6a7e
f238f5 16db62 e62187 5ac554 73e6 6e5a
d83ceb aa1b7f da2a7e 80499a 3ada 8c80
4455d3 d57f13 ab513e 449fdc 78ab 8d44
c0e9c3 92117a c5937c 774890 6ec5 8677
3a247b b5cb7d 665b63 8ea098 7e66 7e8e
4ec2c0 f16938 a78e46 6283da 89a7 9062
b40fd6 dc74a9 c02078 b05f9b 40c0 8ab0
14a020 7d7722 26c174 3ba0a9 b126 8f3b
37bfc9 b55256 a98b37 6973af 7fa9 7369
f272ac 07c934 b65aa5 35cf62 95b6 8435
432e11 4e9bc5 1d8897 a87846 801d 6fa8
04df23 d6e43a 29e167 67c3c6 d229 9767
a33aa2 16ae5b 9a4b85 52b159 7e9a 6f52
cf4b59 52e634 716bbb 47d586 a071 a147
9e7cea d1739b d1515f a3659c 5bd1 7ea3
af543f 3a287f 587db7 6a5c61 6d58 8c6a
9d34f4 2e36ac d3295d 885346 3ed3 5288
6d4401 cac5e0 1c95b2 d97576 851c 94d9
4ff0a1 404220 95b053 298d8e 9f95 7129
f3f919 a4d522 57d7e2 4acab8 d157 cd4a
ab674c 6a457c 6282ae 746679 7462 9474
af807c 66995e 877c99 639c81 8c87 8d63
64c457 68d9f0 61b581 d1843d 9d61 5fd1
63ae4f 669242 5aad85 4fa38e a85a 8a4f
7f9c79 03c616 7c9081 1eda6e b57c 781e
142a41 7c7703 35796a 25acb7 9335 9125
ce2a0b 4d0718 3679e0 22719b 7536 be22
637fce 2acb95 b1644e 82a748 86b1 4b82
f6c801 f32396 43c7f1 a13bb3 8143 d2a1
1a7999 b67a57 7b7e41 6d86ad 827b 776d
982548 1f1d26 5665a9 237c7c 7156 9323
cec25c ba1248 7ba5b4 5c57bb 7e7b b85c
3191b3 786878 947d40 767780 7a94 6076
66790d cfed51 27aba7 77bfb7 b527 af77
7b6745 52d66d 528a99 6eb76d a152 836e
e62097 4501ca 9f3bac 9f2a46 339f 799f
630648 7d7cd0 485b90 b85f5a 5d48 75b8
8ff475 21ad63 83bc87 5aac5b b483 715a
2d71e2 17fb5e b35c2a 5ad655 99b3 405a
2e62f9 a7972d c24b21 4ea7b8 79c2 6d4e
31b97e e51943 71a656 6258d2 7f71 9462
526b96 6b84aa 84725f 997462 7384 6199
3e0447 f530f3 405f7e e51e89 3f40 84e5
820697 aa4286 88397c 885995 4988 8988
5961fb 4d085a cd4536 51587d 4fcd 5a51
b4cb02 4aee23 36d0cf 39e18a d936 ad39
c485a1 e35579 a66d92 8c61b6 67a6 a48c
4ed384 46564d 7ead61 4c857c 997e 6f4c
29b79c 356c8b 859a45 767a56 8a85 4e76
a8aef3 eb6522 de665d 518ae1 78de 9f51
4fdfd9 b27872 bc923a 807b9f 87bc 6d80
486486 8c77c1 767662 b06168 6c76 65b0
4f2b98 e1fb2a 805160 60d3d1 9280 9960
